event_id,user_id,event_name,event_time,event_date,session_id,run_id,turn_no,product_type,action,result,value_num,schema_version,app_version,channel,strategy_segment
evt_000000001,usr_00001,game_install,2026-08-05T12:33:00,2026-08-05,ses_00001_00,,,,,,,1,0.9.1,campus_demo,diversified
evt_000000002,usr_00001,session_start,2026-08-05T12:33:05,2026-08-05,ses_00001_00,,,,,,,1,0.9.1,campus_demo,diversified
evt_000000003,usr_00001,new_run_start,2026-08-05T12:33:20,2026-08-05,ses_00001_00,run_00001_01,,,,,,1,0.9.1,campus_demo,diversified
evt_000000004,usr_00001,opening_item_selected,2026-08-05T12:35:00,2026-08-05,ses_00001_00,run_00001_01,,,ledger,success,,1,0.9.1,campus_demo,diversified
evt_000000005,usr_00001,watchlist_configured,2026-08-05T12:37:00,2026-08-05,ses_00001_00,run_00001_01,,,three_assets_selected,success,3.0,1,0.9.1,campus_demo,diversified
evt_000000006,usr_00001,trade_order_result,2026-08-05T12:39:00,2026-08-05,ses_00001_00,run_00001_01,1,stock,buy,success,3.0,1,0.9.1,campus_demo,diversified
evt_000000007,usr_00001,turn_advanced,2026-08-05T12:42:00,2026-08-05,ses_00001_00,run_00001_01,1,,,success,1.0,1,0.9.1,campus_demo,diversified
evt_000000008,usr_00001,turn_advanced,2026-08-05T12:44:00,2026-08-05,ses_00001_00,run_00001_01,2,,,success,2.0,1,0.9.1,campus_demo,diversified
evt_000000009,usr_00001,session_start,2026-08-12T16:27:00,2026-08-12,ses_00001_07,,,,,returning,7.0,1,0.9.1,campus_demo,diversified
evt_000000010,usr_00002,game_install,2026-08-08T12:40:00,2026-08-08,ses_00002_00,,,,,,,1,0.9.2,offline_build,conservative
evt_000000011,usr_00002,session_start,2026-08-08T12:40:05,2026-08-08,ses_00002_00,,,,,,,1,0.9.2,offline_build,conservative
evt_000000012,usr_00002,new_run_start,2026-08-08T12:40:20,2026-08-08,ses_00002_00,run_00002_01,,,,,,1,0.9.2,offline_build,conservative
evt_000000013,usr_00003,game_install,2026-08-02T10:09:00,2026-08-02,ses_00003_00,,,,,,,1,0.9.3,offline_build,conservative
evt_000000014,usr_00003,session_start,2026-08-02T10:09:05,2026-08-02,ses_00003_00,,,,,,,1,0.9.3,offline_build,conservative
evt_000000015,usr_00003,new_run_start,2026-08-02T10:09:20,2026-08-02,ses_00003_00,run_00003_01,,,,,,1,0.9.3,offline_build,conservative
evt_000000016,usr_00003,opening_item_selected,2026-08-02T10:11:00,2026-08-02,ses_00003_00,run_00003_01,,,ledger,success,,1,0.9.3,offline_build,conservative
evt_000000017,usr_00003,watchlist_configured,2026-08-02T10:13:00,2026-08-02,ses_00003_00,run_00003_01,,,three_assets_selected,success,3.0,1,0.9.3,offline_build,conservative
evt_000000018,usr_00003,trade_order_result,2026-08-02T10:15:00,2026-08-02,ses_00003_00,run_00003_01,1,stock,buy,success,2.0,1,0.9.3,offline_build,conservative
evt_000000019,usr_00003,turn_advanced,2026-08-02T10:18:00,2026-08-02,ses_00003_00,run_00003_01,1,,,success,1.0,1,0.9.3,offline_build,conservative
evt_000000020,usr_00003,turn_advanced,2026-08-02T10:20:00,2026-08-02,ses_00003_00,run_00003_01,2,,,success,2.0,1,0.9.3,offline_build,conservative
evt_000000021,usr_00003,turn_advanced,2026-08-02T10:22:00,2026-08-02,ses_00003_00,run_00003_01,3,,,success,3.0,1,0.9.3,offline_build,conservative
evt_000000022,usr_00003,turn_advanced,2026-08-02T10:24:00,2026-08-02,ses_00003_00,run_00003_01,4,,,success,4.0,1,0.9.3,offline_build,conservative
evt_000000023,usr_00003,turn_advanced,2026-08-02T10:26:00,2026-08-02,ses_00003_00,run_00003_01,5,,,success,5.0,1,0.9.3,offline_build,conservative
evt_000000024,usr_00003,life_choice_resolved,2026-08-02T10:27:00,2026-08-02,ses_00003_00,run_00003_01,5,,conservative,success,,1,0.9.3,offline_build,conservative
evt_000000025,usr_00003,turn_advanced,2026-08-02T10:28:00,2026-08-02,ses_00003_00,run_00003_01,6,,,success,6.0,1,0.9.3,offline_build,conservative
evt_000000026,usr_00003,turn_advanced,2026-08-02T10:30:00,2026-08-02,ses_00003_00,run_00003_01,7,,,success,7.0,1,0.9.3,offline_build,conservative
evt_000000027,usr_00003,turn_advanced,2026-08-02T10:32:00,2026-08-02,ses_00003_00,run_00003_01,8,,,success,8.0,1,0.9.3,offline_build,conservative
evt_000000028,usr_00003,turn_advanced,2026-08-02T10:34:00,2026-08-02,ses_00003_00,run_00003_01,9,,,success,9.0,1,0.9.3,offline_build,conservative
evt_000000029,usr_00003,turn_advanced,2026-08-02T10:36:00,2026-08-02,ses_00003_00,run_00003_01,10,,,success,10.0,1,0.9.3,offline_build,conservative
evt_000000030,usr_00003,life_choice_resolved,2026-08-02T10:37:00,2026-08-02,ses_00003_00,run_00003_01,10,,conservative,success,,1,0.9.3,offline_build,conservative
evt_000000031,usr_00003,turn_advanced,2026-08-02T10:38:00,2026-08-02,ses_00003_00,run_00003_01,11,,,success,11.0,1,0.9.3,offline_build,conservative
evt_000000032,usr_00003,turn_advanced,2026-08-02T10:40:00,2026-08-02,ses_00003_00,run_00003_01,12,,,success,12.0,1,0.9.3,offline_build,conservative
evt_000000033,usr_00003,turn_advanced,2026-08-02T10:42:00,2026-08-02,ses_00003_00,run_00003_01,13,,,success,13.0,1,0.9.3,offline_build,conservative
evt_000000034,usr_00003,turn_advanced,2026-08-02T10:44:00,2026-08-02,ses_00003_00,run_00003_01,14,,,success,14.0,1,0.9.3,offline_build,conservative
evt_000000035,usr_00003,turn_advanced,2026-08-02T10:46:00,2026-08-02,ses_00003_00,run_00003_01,15,,,success,15.0,1,0.9.3,offline_build,conservative
evt_000000036,usr_00003,life_choice_resolved,2026-08-02T10:47:00,2026-08-02,ses_00003_00,run_00003_01,15,,conservative,success,,1,0.9.3,offline_build,conservative
evt_000000037,usr_00003,turn_advanced,2026-08-02T10:48:00,2026-08-02,ses_00003_00,run_00003_01,16,,,success,16.0,1,0.9.3,offline_build,conservative
